time_stamp,sensor_name,Temperature.max,Temperature.mean,Temperature.flag,RelativeHumidity.max,RelativeHumidity.mean,RelativeHumidity.flag,Pressure.max,Pressure.mean,Pressure.flag
2017-06-01,3 [WEATHER],10.80,10.23,0.00,98.68,93.48,0.00,1012.60,1008.16,0.00
2017-06-02,3 [WEATHER],12.00,10.66,0.00,100.00,97.08,0.00,1007.30,1005.40,0.00
2017-06-03,3 [WEATHER],12.00,9.98,0.00,100.00,93.50,0.00,1007.30,1005.22,0.00
2017-06-04,3 [WEATHER],11.60,9.76,0.00,100.00,96.67,0.00,1001.80,1001.09,0.00
2017-06-05,3 [WEATHER],11.00,9.69,0.00,100.00,94.61,0.00,999.50,994.76,0.00
2017-06-06,3 [WEATHER],10.80,10.30,0.00,100.00,98.23,0.00,989.60,987.61,0.00
2017-06-07,3 [WEATHER],13.80,10.45,0.00,100.00,95.41,0.00,995.20,991.10,0.00
2017-06-08,3 [WEATHER],10.10,8.95,0.00,93.38,77.10,0.00,997.80,996.63,0.00
2017-06-09,3 [WEATHER],12.20,10.28,0.00,100.00,93.28,0.00,1001.60,996.34,0.00
2017-06-10,3 [WEATHER],11.10,10.55,0.00,100.00,97.25,0.00,1002.00,999.32,0.00
2017-06-11,3 [WEATHER],13.90,11.52,0.00,100.00,95.76,0.00,994.20,992.02,0.00
2017-06-12,3 [WEATHER],12.20,11.05,0.00,99.34,96.72,0.00,1001.90,995.01,0.00
2017-06-13,3 [WEATHER],12.20,10.83,0.00,100.00,97.83,0.00,1006.40,1004.61,0.00
2017-06-14,3 [WEATHER],14.10,11.95,0.00,99.34,95.42,0.00,1006.40,1004.80,0.00
2017-06-15,3 [WEATHER],13.80,12.04,0.00,98.03,92.95,0.00,1000.20,997.41,0.00
2017-06-16,3 [WEATHER],13.50,11.64,0.00,100.00,95.22,0.00,1008.70,1006.04,0.00
2017-06-17,3 [WEATHER],13.00,12.24,0.00,100.00,97.72,0.00,1010.20,1009.14,0.00
2017-06-18,3 [WEATHER],12.80,11.63,0.00,97.36,91.82,0.00,1013.20,1011.21,0.00
2017-06-19,3 [WEATHER],12.30,10.89,0.00,98.02,93.04,0.00,1012.60,1011.03,0.00
2017-06-20,3 [WEATHER],12.10,10.73,0.00,96.68,88.62,0.00,1014.40,1012.98,0.00
2017-06-21,3 [WEATHER],12.40,11.10,0.00,100.00,95.53,0.00,1013.10,1005.68,0.00
2017-06-22,3 [WEATHER],13.20,11.68,0.00,100.00,91.92,0.00,1001.00,999.49,0.00
2017-06-23,3 [WEATHER],13.00,11.65,0.00,99.34,88.49,0.00,995.90,992.75,0.00
2017-06-24,3 [WEATHER],11.40,10.48,0.00,95.41,87.47,0.00,992.30,987.57,0.00
2017-06-25,3 [WEATHER],11.60,10.53,0.00,95.40,91.08,0.00,1000.60,992.20,0.00
2017-06-26,3 [WEATHER],11.60,9.84,0.00,89.73,77.53,0.00,1008.20,1005.70,0.00
2017-06-27,3 [WEATHER],11.70,9.77,0.00,90.06,76.38,0.00,1008.00,1006.36,0.00
2017-06-28,3 [WEATHER],12.00,10.67,0.00,87.99,79.51,0.00,1004.70,1003.04,0.00
2017-06-29,3 [WEATHER],11.90,10.71,0.00,99.34,93.78,0.00,1001.10,999.81,0.00
