long,lat,sensor_name,Postcode,Address,UK-AIR ID,EU Site ID,EMEP Site ID,Environment Type,Zone,Start Date,End Date,Latitude,Longitude,Northing,Easting,Altitude (m),Networks,AURN Pollutants Measured,Site Description
-3.20545,55.31184,1023 [POLLEN],DG,"B709, Langholm DG13 0QW, UK",,,,,,,,,,,,,,,
-3.2055,55.3118,1023 [WEATHER],DG,,,,,,,,,,,,,,,,
-3.1577,54.9317,1066 [WEATHER],CA,,,,,,,,,,,,,,,,
-2.7864,54.6699,1073 [WEATHER],CA,,,,,,,,,,,,,,,,
-2.7737,54.0138,1105 [WEATHER],LA,,,,,,,,,,,,,,,,
-4.0791,52.2225,11256 [WEATHER],SA,,,,,,,,,,,,,,,,
-3.4107,53.3414,1141 [WEATHER],LL,,,,,,,,,,,,,,,,
-3.7883,53.0971,1148 [WEATHER],LL,,,,,,,,,,,,,,,,
-3.7134,53.2907,1149 [WEATHER],LL,,,,,,,,,,,,,,,,
-4.1068,53.1424,1164 [WEATHER],LL,,,,,,,,,,,,,,,,
-4.0138,52.7174,1173 [WEATHER],LL,,,,,,,,,,,,,,,,
-3.583,52.9073,1180 [WEATHER],LL,,,,,,,,,,,,,,,,
-3.8417,52.6218,1185 [WEATHER],SY,,,,,,,,,,,,,,,,
-3.4687,52.7492,1191 [WEATHER],SY,,,,,,,,,,,,,,,,
-5.1509,51.7025,1214 [WEATHER],SA,,,,,,,,,,,,,,,,
-4.9593,51.653,1217 [WEATHER],SA,,,,,,,,,,,,,,,,
-4.7068,51.6682,1222 [WEATHER],SA,,,,,,,,,,,,,,,,
-4.3687,52.0126,1227 [WEATHER],SA,,,,,,,,,,,,,,,,
-3.1860000000000004,52.0252,1243 [WEATHER],LD,,,,,,,,,,,,,,,,
-3.132,52.3319,1245 [WEATHER],LD,,,,,,,,,,,,,,,,
-3.3488,51.1303,1291 [WEATHER],TA,,,,,,,,,,,,,,,,
-2.733,51.2478,1304 [WEATHER],BS,,,,,,,,,,,,,,,,
-2.184,50.9505,1324 [WEATHER],SP,,,,,,,,,,,,,,,,
