"site_id","latitude","longitude","postcode"
"     1",60.15491,-2.07206,"ZE"
"     2",60.11091,-2.06297,"AB"
"     3",59.52654,-1.62777,"ZE"
"     4",59.87926,-1.29736,"ZE"
"     5",60.10475,-1.33088,"ZE"
"     6",60.43957,-1.30583,"ZE"
"     7",60.53337,-1.38948,"ZE"
"     9",60.13946,-1.18299,"ZE"
"    10",60.44791,-1.27581,"ZE"
"    11",60.58123,-1.26447,"ZE"
"    12",60.74891,-0.85365,"ZE"
"    13",60.75917,-0.88599,"ZE"
"    14",60.85624,-0.88445,"ZE"
"    15",60.82889,-0.83942,"ZE"
"    16",59.12418,-5.82561,"PA"
"    17",59.08284,-4.40311,"KW"
"    19",58.87368,-3.38515,"KW"
"    20",58.98258,-3.22143,"KW"
"    21",59.10505,-3.08608,"KW"
"    22",59.13147,-3.14634,"KW"
"    23",58.95387,-2.89988,"KW"
"    24",58.98668,-2.94662,"KW"
"    25",59.36125,-2.41312,"KW"
"    26",58.57961,-3.73715,"KW"
"    28",58.18068,-3.52885,"KW"
"    29",58.45344,-3.55781,"KW"
"    30",58.6126,-3.54594,"KW"
"    31",58.31095,-3.28354,"KW"
"    32",58.45406,-3.0884,"KW"
"    33",58.54256,-3.10815,"KW"
"    34",58.63546,-3.06285,"KW"
"    35",58.31965,-5.12485,"IV"
"    36",58.2895,-5.07098,"IV"
"    37",58.62556,-4.99878,"IV"
"    38",58.31121,-4.91506,"IV"
"    39",57.98167,-4.42533,"IV"
"    40",58.16834,-4.72596,"IV"
"    41",57.94331,-4.41091,"IV"
"    42",57.98267,-4.42032,"IV"
"    43",58.01889,-4.40584,"IV"
"    44",58.28807,-4.44101,"IV"
"    45",58.52364,-4.27198,"KW"
"    46",58.52084,-4.00902,"KW"
"    47",58.59888,-4.01694,"KW"
"    48",58.23059,-3.92063,"KW"
"    49",58.29306,-3.92272,"KW"
"    50",58.56132,-3.99046,"KW"
"    51",58.22247,-6.94686,"PA"
"    52",57.85918,-5.63159,"IV"
"    53",58.18933,-6.35115,"PA"
"    54",58.21382,-6.31772,"PA"
"    55",58.51614,-6.26097,"PA"
"    56",57.28612,-5.65096,"IV"
"    57",57.31992,-5.6942,"IV"
"    58",57.57925,-5.69057,"IV"
"    59",57.5514,-5.4584,"IV"
"    60",57.77449,-5.596,"IV"
"    61",57.85862,-5.81171,"IV"
"    62",57.48413,-5.31849,"IV"
"    63",58.06803,-5.26567,"IV"
"    64",57.33748,-5.65212,"IV"
"    65",57.49069,-5.27401,"IV"
"    66",57.61305,-5.30503,"IV"
"    67",57.7251,-4.89419,"IV"
"    68",58.03168,-5.07096,"IV"
"    69",57.15626,-5.18026,"IV"
"    70",57.55529,-4.79318,"IV"
"    71",57.57817,-4.60587,"IV"
"    72",57.57486,-4.58581,"IV"
"    73",57.69987,-4.7302,"IV"
"    74",57.60005,-4.44562,"IV"
"    75",57.75269,-4.27045,"IV"
"    76",57.57425,-4.09205,"IV"
"    77",57.68713,-4.16567,"IV"
"    78",57.70346,-4.15657,"IV"
"    79",57.81907,-3.96524,"IV"
"    80",57.86483,-3.77506,"IV"
"    81",57.8115,-8.56363,"PA"
"    82",57.02547,-7.44824,"PA"
"    83",57.15482,-7.31557,"PA"
"    84",57.47542,-7.36976,"PA"
"    85",57.87205,-6.69763,"PA"
"    86",57.42338,-6.78665,"IV"
"    87",57.43667,-6.76837,"IV"
"    88",56.96946,-6.68038,"PH"
"    89",57.01447,-6.28089,"PH"
"    90",57.46763,-6.30356,"IV"
"    91",57.66101,-6.36144,"IV"
"    92",56.87211,-5.66928,"PH"
"    93",57.18892,-5.8931,"IV"
"    94",57.23927,-5.89343,"IV"
"    95",57.19953,-5.62915,"IV"
"    96",56.71977,-5.22301,"PH"
"    97",56.82959,-5.07503,"PH"
"    98",56.80949,-5.12419,"PH"
"    99",56.83672,-5.07725,"PH"
"   101",56.83945,-5.14801,"PH"
"   102",57.42707,-4.49535,"IV"
"   103",56.82229,-4.96787,"PH"
"   104",57.04376,-4.79752,"PH"
"   105",56.86675,-4.7067,"PH"
"   106",57.13811,-4.71702,"PH"
"   107",57.14438,-4.67614,"PH"
"   108",57.26161,-4.48229,"CA"
"   109",57.29209,-4.82632,"IV"
"   110",57.4597,-4.37192,"IV"
"   111",56.94024,-4.2366,"PH"
"   112",57.11108,-3.88915,"PH"
"   113",57.20649,-3.82693,"PH"
"   114",57.32846,-4.4847,"IV"
"   115",57.48674,-4.22047,"IV"
"   116",57.54196,-4.06096,"IV"
"   117",57.11636,-3.64165,"AB"
"   118",57.13358,-3.66733,"PH"
"   119",57.1287,-3.66037,"PH"
"   120",57.12442,-3.64366,"PH"
"   121",57.15197,-3.79699,"PH"
"   122",57.16452,-3.67636,"PH"
"   123",57.33932,-4.00555,"IV"
"   124",57.38077,-4.0544,"IV"
"   125",57.34478,-4.00189,"IV"
"   126",57.58729,-3.89202,"IV"
"   127",57.61547,-3.60884,"IV"
"   128",57.33437,-3.59819,"PH"
"   129",57.32697,-3.61449,"PH"
"   130",57.33558,-3.60428,"PH"
"   131",57.60846,-3.59514,"IV"
"   132",57.64574,-3.56202,"IV"
"   133",57.64516,-3.37724,"IV"
"   134",57.53202,-3.19424,"AB"
"   135",57.63882,-3.29659,"IV"
"   136",57.65055,-3.29198,"IV"
"   137",57.71153,-3.32186,"IV"
"   138",57.62102,-3.08832,"IV"
"   139",57.28225,-3.28568,"AB"
"   140",57.35425,-3.34339,"AB"
"   141",57.55298,-2.94757,"AB"
"   142",57.66119,-2.51907,"AB"
"   143",57.67135,-2.52143,"AB"
"   144",57.16512,-3.22869,"AB"
"   145",56.87916,-3.41952,"PH"
"   147",57.00612,-3.39635,"AB"
"   148",57.03746,-3.21897,"AB"
"   149",57.04731,-3.04181,"AB"
"   150",57.07595,-2.83948,"AB"
"   151",57.1094,-2.91476,"AB"
"   152",57.12722,-2.93502,"AB"
"   153",57.01661,-2.66871,"AB"
"   154",57.24024,-2.68435,"AB"
"   155",57.35657,-2.76464,"AB"
"   156",57.37885,-2.79338,"AB"
